badge_name,id,reference_id,reference_type,badge_group_id,enabled,points,highest_points,created_at,updated_at,deleted_at
Colorado,185,5023c9dd-c50d-432e-9a99-beaa75cd83f0,states,40,TRUE,70,70,30:30.0,30:30.0,
Connecticut,186,5f6b277d-55ac-45aa-baef-6471bbc0ecb5,states,40,TRUE,60,70,30:30.0,30:30.0,
Virginia,187,1ba42657-a1e8-4549-b6e8-f9543e61b808,states,40,TRUE,50,50,30:30.0,30:30.0,
Arkansas,188,b85ead0f-98bd-4a05-b514-b1944fc00359,states,40,TRUE,10,10,30:30.0,30:30.0,
California,189,36366d94-5082-45cc-a944-64fae1df349c,states,40,TRUE,12635,14470,30:30.0,30:30.0,
Wisconsin,190,cb473dc9-4a5d-439c-bf36-f94902ea3bc0,states,40,TRUE,5,10,30:30.0,30:30.0,
Massachusetts,191,4f93a049-e2b8-4ddf-82dd-4de1613dbac4,states,40,TRUE,755,1030,30:30.0,30:30.0,
Iowa,192,32ebc125-4ed8-432b-affa-4d2b8c8ee3c1,states,40,TRUE,290,290,30:30.0,30:30.0,
Automotive,193,2fd11bdf-13a1-46ba-ac89-ac230d4d1e73,categories,41,TRUE,55,80,30:30.0,30:30.0,
Marketing,194,02f15662-231c-47c3-9df0-7ad153205a7a,categories,41,TRUE,170,180,30:30.0,30:30.0,
Manufacturing,195,e1a83ed9-bae1-491e-97df-ad2af1fc87aa,categories,41,TRUE,250,250,30:30.0,30:30.0,
Research,196,18c5d709-db4c-4e5c-abaf-3f0a8ee828ba,categories,41,TRUE,60,80,30:30.0,30:30.0,
Accounting,197,bc83ca55-7b5d-4384-9bf8-02439e85a568,categories,41,TRUE,70,70,30:30.0,30:30.0,
Facilities,198,b991b868-36ff-4cde-9cb2-068995901151,categories,41,TRUE,100,100,30:30.0,30:30.0,
Information Technology,199,f4491b7b-ad9a-45cc-9945-939f9813ea9e,categories,41,TRUE,300,340,30:30.0,30:30.0,
Warehouse,200,9c23ef65-8626-4698-bcc6-632dfddb59f5,categories,41,TRUE,185,260,30:30.0,30:30.0,
Human Resources,201,c83bb386-c1a7-4778-b1c0-855c2b501b83,categories,41,TRUE,200,240,30:30.0,30:30.0,
Admin & Clerical,202,62fa1031-a980-42b0-ac1d-8821b5ee4c55,categories,41,TRUE,270,330,30:30.0,30:30.0,
Biotechnology,203,210ca205-d9f0-49ff-a17c-0b7921928168,industries,42,TRUE,350,360,30:30.0,30:30.0,
Retail,204,32df426f-bad0-47a7-95f2-dc2d723cf915,industries,42,TRUE,25,50,30:30.0,30:30.0,
Research,205,e6d6974e-0d85-4933-82b8-9908aa6134df,industries,42,TRUE,300,350,30:30.0,30:30.0,
Consumer Goods,206,1cea2568-0e61-4074-90a8-0fe1bd37141a,industries,42,TRUE,70,70,30:30.0,30:30.0,
Logistics and Supply Chain,207,0bb007c8-04dd-479d-9816-4854d522405a,industries,42,TRUE,420,510,30:30.0,30:30.0,
Automotive,208,e3cf33d6-79df-4a33-b8bc-2dde3f632a2b,industries,42,TRUE,55,80,30:30.0,30:30.0,
Media Production,209,67337d45-54a6-4029-884d-899c61f2213e,industries,42,TRUE,170,180,30:30.0,30:30.0,
Consumer Electronics,210,bceda1e1-a110-4852-9036-6d044700898c,industries,42,TRUE,210,230,30:30.0,30:30.0,
Hospital & Health Care,211,e4eefc3e-070f-4b86-9670-a2f452f6bb2c,industries,42,TRUE,60,100,30:30.0,30:30.0,
Contract,212,,,43,TRUE,1475,1670,30:30.0,30:30.0,
